Full Text,Sentiment,Domain,Date,Page Type,Country Character,Country Competence,People Character,People Competence,text
RT @StephenMcDonell #China’s Henan province today: Everywhere we’re turning up at the moment the police/government officials want us to move on. We say people want to see important #coronavirus work. They seem to think attention makes them look like not handling crisis well. @Ep_lawrence on camera. https://t.co/dBspde8Yrf,negative,twitter.com,59:36.0,twitter,0.0,0.0,-1.0,0.0,china s henan province today everywhere we re turning moment policegovernment officials want move say people want see important coronavirus work seem think attention makes look like handling crisis well camera
RT @Bsintash #VirusThreatInCamps We call all international media outlets to pay attention on the most urgent situation in #China right now! https://t.co/ljxRmAJHZO,neutral,twitter.com,58:18.0,twitter,-1.0,0.0,0.0,0.0,virusthreatincamps call international media outlets pay attention urgent situation china right
RT @RT_com #Spain confirms first case of fast-spreading #coronavirus gripping #China https://t.co/1GriRYqtqT https://t.co/nNSfcDP16J,neutral,twitter.com,57:39.0,twitter,0.0,0.0,0.0,-1.0,spain confirms first case fastspreading coronavirus gripping china
@kerrya11en That is amazing and cute.I am 100% supporting you guys I hope you fight through this virus FIGHTING!!!!!! #Wuhan #China #WuhanChina,positive,twitter.com,56:54.0,twitter,0.0,0.0,1.0,0.0,amazing cutei supporting guys hope fight virus fighting wuhan china wuhanchina
RT @VistaPResearch United joins Delta and American in halting flights to #China due to the #coronavirus https://t.co/gjRi9SUhaf,neutral,twitter.com,56:46.0,twitter,0.0,-1.0,0.0,0.0,united joins delta american halting flights china due coronavirus
Golden rats light up #Sydney's #Lunar lanterns https://t.co/TbokXqUAvP #Asia #Asian #Aussie #Australia #Australian #Chinese #Intelligence #Korean #Malaysia #Moore #Rain #Robot #Snake https://t.co/DDHeupTEWT,neutral,twitter.com,56:31.0,twitter,0.0,0.0,0.0,1.0,golden rats light sydneys lunar lanterns asia asian aussie australia australian chinese intelligence korean malaysia moore rain robot snake
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,56:01.0,twitter,0.0,0.0,-1.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
"#Airbus bribed officials in #Brazil🇧🇷#China🇨🇳#Ghana🇬🇭#Indonesia#Japan🇯🇵🇮🇩#Kuwait🇰🇼#Malaysia🇲🇾#SriLanka🇱🇰#Russia🇷🇺#Turkey🇹🇷 & hid the payments as part of a pattern of worldwide #corruption; agreed a record $4 billion settlement w/ #France🇫🇷, #UK🇬🇧 & #USA🇺🇸. https://t.co/ZciRQT8lwK",neutral,twitter.com,55:27.0,twitter,-1.0,0.0,-1.0,0.0,airbus bribed officials brazil china ghana indonesiajapan kuwait malaysia srilanka russia turkey hid payments part pattern worldwide corruption agreed record billion settlement france uk usa
@Barbi_Twins Sickening!!! I could never do something like that and I can’t even comprehend the mentality of people that think this is acceptable. #china #coronoravirus 🤬🤬🤬🤬🤬🤬🤬,negative,twitter.com,55:16.0,twitter,0.0,0.0,-1.0,0.0,sickening could never something like can t even comprehend mentality people think acceptable china coronoravirus
RT @StephenMcDonell #Japan and other countries are now denying entry to any Chinese citizens with passports issued in #Hubei Province (where the #coronavirus emergency started). #Singapore has gone one step further denying entry to anyone with a passport from #China.,neutral,twitter.com,54:55.0,twitter,-1.0,0.0,0.0,0.0,japan countries denying entry chinese citizens passports issued hubei province coronavirus emergency started singapore gone one step denying entry anyone passport china
RT @onderaydogan487 #FacialRecognition is the latest form of #Payments in #China >>> @MikeQuindazzi >>> #AI #FinTech #Payments #IoT #tech #DeepLearning #MachineLearning #makeyourownlane #4IR Rt @MikeQuindazzi CC @enricomolinari @mvollmer1 @kuriharan @MargaretSiegien @automeme https://t.co/P0WDjfzSVX,neutral,twitter.com,54:17.0,twitter,0.0,1.0,0.0,0.0,facialrecognition latest form payments china fintech payments iot tech deeplearning machinelearning makeyourownlane ir
"#Wuhan #coronavirus #PANDEMIC BIOENGINEERED: Who’s behind it, why now and why #China? #WuhanCoronovirus #CoronavirusWho https://t.co/Ug1Jr30HJS",neutral,twitter.com,54:13.0,twitter,0.0,0.0,0.0,0.0,wuhan coronavirus pandemic bioengineered who s behind china wuhancoronovirus coronaviruswho
"RT @kerrya11en 🚨 New piece! 🚨 With much of #China in lockdown either because of quarantine or self-quarantine, everyone's been watching livestreams of 2 Wuhan hospitals being built & creating nicknames and fan art for the ""hero"" construction vehicles 😭🏗🚒🚛🚚 Bob the Builder, China style! https://t.co/2LOyt0m1LO",neutral,twitter.com,53:43.0,twitter,1.0,0.0,0.0,0.0,new piece much china lockdown either quarantine selfquarantine everyones watching livestreams wuhan hospitals built creating nicknames fan art hero construction vehicles bob builder china style
"RT @le_french_mulu For the people who want to know what it's like to be in an empty mall in #China during the #CoronaVirus outbreak... It's very weird. #Shanghai has become a #GhostTown! FYI, it's the Super Brand Mall. #ChinaCoronaVirus #CoronaOutbreak https://t.co/LlDndgOPz4",negative,twitter.com,53:38.0,twitter,0.0,0.0,0.0,-1.0,people want know like empty mall china coronavirus outbreak weird shanghai become ghosttown fyi super brand mall chinacoronavirus coronaoutbreak
"RT @sauga960am 📣 New Podcast! ""The Marc Patrone Show - Jan 31, 2020 - Trudeau Gov’t’s Anemic, Tough Trade with China, Freedom in Canada & UFO Friday"" on @Spreaker #brampton #caledon #china #freedomincanada #freedomofspeech #gdpgrowth #justintrudeau #mississauga https://t.co/apf6PRX13E",neutral,twitter.com,53:15.0,twitter,0.0,-1.0,0.0,0.0,new podcast marc patrone show jan trudeau gov t s anemic tough trade china freedom canada ufo friday brampton caledon china freedomincanada freedomofspeech gdpgrowth justintrudeau mississauga
"RT @GordonGChang #China will surely continue to employ totalitarian measures, like drones with cameras and speakers, after the epidemic. The regime is unlikely to give up any means to control people, especially if recriminations dominate the national conversation. #WuhanCoronavirusOutbreak",negative,twitter.com,52:46.0,twitter,0.0,0.0,0.0,1.0,china surely continue employ totalitarian measures like drones cameras speakers epidemic regime unlikely give means control people especially recriminations dominate national conversation wuhancoronavirusoutbreak
RT @base_thai #China #Coronavirus Medical staff and journalists say the officially confirmed cases are likely just the tip of the iceberg https://t.co/TEhdbFba7R,neutral,twitter.com,52:38.0,twitter,0.0,0.0,0.0,0.0,china coronavirus medical staff journalists say officially confirmed cases likely tip iceberg
"My report for @Reuters on US oil major Chevron asking its employees to postpone ""non-essential"" business travel to China in the aftermath of the coronavirus outbreak. The flu-like virus has resulted in over 200 deaths in China. #coronarvirus #Chevron #OOTT #Hubei #WHO #China",neutral,twitter.com,52:13.0,twitter,-1.0,0.0,0.0,0.0,report oil major chevron asking employees postpone nonessential business travel china aftermath coronavirus outbreak flulike virus resulted deaths china coronarvirus chevron oott hubei china
Medicial resources like surgical masks are found stuck in storage of #China Red Cross in Wuhan for days. #CoronavirusOutbreak #CCPChina,negative,twitter.com,52:01.0,twitter,0.0,-1.0,0.0,0.0,medicial resources like surgical masks found stuck storage china red cross wuhan days coronavirusoutbreak ccpchina
"@DazAltTheory Hallo, you can read it here: Thread by @DazAltTheory: #CoronaOutbreak #CoronaVirus #CoronaOutbreakVirus #Wuhan #China The Chinese Military, it's… https://t.co/2kQXFKdAnN. Talk to you soon. 🤖",neutral,twitter.com,52:01.0,twitter,0.0,0.0,0.0,0.0,hallo read thread coronaoutbreak coronavirus coronaoutbreakvirus wuhan china chinese military its talk soon
"RT @GracieNunyabiz 🚨 Whoa. Stop. Read 🚨 #Wuhan #China hits just keep coming! ""The charges brought by the U.S. government against Professor Lieber are extremely serious. Harvard is cooperating with federal authorities, including the National Institutes of Health"" ~ Harvard https://t.co/zuDZRD7UAZ",negative,twitter.com,51:52.0,twitter,0.0,0.0,0.0,-1.0,whoa stop read wuhan china hits keep coming charges brought government professor lieber extremely serious harvard cooperating federal authorities including national institutes health harvard
RT @cubacenter Two articles in The Wall Street Journal and an article in the Foundation for Economic Education drive home that communist regimes are a threat to public health. https://t.co/POx6TGFGFQ #China #Cuba 1/24 https://t.co/qCzL3V9mSc,neutral,twitter.com,51:45.0,twitter,-1.0,0.0,0.0,0.0,two articles wall street journal article foundation economic education drive home communist regimes threat public health china cuba
