Date,Domain,Page Type,Tweet,Country Character,Country Competence,People Character,People Competence,Sentiment
00:23.0,twitter.com,twitter,amanpuri exchange highest referral fee industry transaction fee person referred user reflected account real time amanpuri amal btc xrp eth cryptocurrency altcoin bitcoin china btcfx,0.24672174,0.24648714,0.25424346,0.2525477,neutral
00:22.0,twitter.com,twitter,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained,0.2625521,0.2524381,0.24541666,0.23959316,neutral
00:14.0,twitter.com,twitter,our sin accepted islam we re religious family accepted islam prayed five times day read qur an parents went mecca committed crime china,0.24218799,0.2371255,0.2651196,0.25556687,neutral
00:14.0,twitter.com,twitter,people want know like empty mall china coronavirus outbreak weird shanghai become ghosttown fyi super brand mall chinacoronavirus coronaoutbreak,0.24291942,0.23619126,0.26150268,0.2593866,negative
00:04.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,0.26447484,0.25294843,0.24340346,0.23917323,neutral
00:03.0,twitter.com,twitter,german report spells china human rights abuses uighur muslims german government aware humanrights violations chinas xinjiang province warns uighurs deported back china may disappear indefinitely,0.26190457,0.2556143,0.24241398,0.24006718,negative
59:54.0,twitter.com,twitter,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained,0.2625521,0.2524381,0.24541666,0.23959316,neutral
59:43.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,0.26010314,0.25197077,0.24682082,0.24110518,negative
59:39.0,twitter.com,twitter,military personnel arrived wuhan military world games october first coronavirus case appeared two weeks later november coronavirus incubation period days china bioweapon,0.26411498,0.2588702,0.2425407,0.23447412,neutral
59:30.0,twitter.com,twitter,many coronavirus infected people showed obvious symptoms fell coma suddenly still walking street death toll china way officially reported coronavirusoutbreak wuhancoronavius ncov,0.26721847,0.23479982,0.25689885,0.24108276,negative
59:23.0,twitter.com,twitter,incoming flights china limited seven airports sunday due coronavirus,0.26076937,0.2414591,0.25313494,0.24463665,neutral
59:02.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,0.26447484,0.25294843,0.24340346,0.23917323,neutral
58:45.0,twitter.com,twitter,forget shiningcityonthehill turned lights founders washington ronaldreagan clearly can t keeptherepublic world beginning northkorea ukraine russia china laughing,0.25759935,0.25431857,0.24675441,0.24132763,neutral
58:33.0,twitter.com,twitter,arab states part chinese beltandroad oil flow east monetary policy move east decoupling arms sales could one day look east dubai already little india,0.23987684,0.2577054,0.246806,0.2556118,neutral
