Country Character,Country Competence,People Character,People Competence,Tweet
0.0,0.0,0.0,0.0,amanpuri exchange highest referral fee industry transaction fee person referred user reflected account real time amanpuri amal btc xrp eth cryptocurrency altcoin bitcoin china btcfx
0.0,0.0,0.0,0.0,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained
0.0,0.0,0.0,0.0,our sin accepted islam we re religious family accepted islam prayed five times day read qur an parents went mecca committed crime china
0.0,0.0,0.0,0.0,people want know like empty mall china coronavirus outbreak weird shanghai become ghosttown fyi super brand mall chinacoronavirus coronaoutbreak
0.0,0.0,0.0,0.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
0.0,0.0,0.0,0.0,german report spells china human rights abuses uighur muslims german government aware humanrights violations chinas xinjiang province warns uighurs deported back china may disappear indefinitely
0.0,0.0,0.0,0.0,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained
0.0,0.0,0.0,0.0,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown
0.0,0.0,0.0,0.0,military personnel arrived wuhan military world games october first coronavirus case appeared two weeks later november coronavirus incubation period days china bioweapon
0.0,0.0,0.0,0.0,many coronavirus infected people showed obvious symptoms fell coma suddenly still walking street death toll china way officially reported coronavirusoutbreak wuhancoronavius ncov
0.0,0.0,0.0,0.0,incoming flights china limited seven airports sunday due coronavirus
0.0,0.0,0.0,0.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
0.0,0.0,0.0,0.0,forget shiningcityonthehill turned lights founders washington ronaldreagan clearly can t keeptherepublic world beginning northkorea ukraine russia china laughing
0.0,0.0,0.0,0.0,arab states part chinese beltandroad oil flow east monetary policy move east decoupling arms sales could one day look east dubai already little india
0.0,0.0,0.0,0.0,hubei province sits chinas geographic heart intersection countrys critical road rail water transportation networks central national development strategies
0.0,0.0,0.0,0.0,china totally quarantained end next week citizens trying escape country means coronavirus cononavirus caronavirus coronovirus incubination period two weeks would need quarantine period twee weeks costly
0.0,0.0,0.0,0.0,china govt virus death toll rises new fatalities coronarvirus chinavirus
0.0,0.0,0.0,0.0,bbc coronavirus worldwide cases overtake sars outbreak around cases sars eightmonth outbreak nearly people infected new coronavirus china
0.0,0.0,0.0,0.0,kevin sood anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo
0.0,0.0,0.0,0.0,another person literately fell dead ground ill coronavirus hubei province china video contains disturbing footage
0.0,0.0,0.0,0.0,picture month goes civilian aircraft pilot leaving china full protective suit face mask coronavirus
0.0,0.0,0.0,0.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
0.0,0.0,0.0,0.0,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown
0.0,0.0,0.0,0.0,coronavirus myanmar turns back chinese flight guangzhou passenger symptoms quarantined yangon china southern jet sent home almost everyone board friday one passenger flu symptoms fooling around here
0.0,0.0,0.0,0.0,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown
0.0,0.0,0.0,0.0,masked wedding china life goes coronarvirus
0.0,0.0,0.0,0.0,wuhan union hospital bypassed red cross china asked donations online medical staff punished standing outside food collection site like begging food given anything china wuhan wuhanpneumonia chinaoutbreak chinahospital
0.0,0.0,0.0,0.0,citizen hubei province china within past days subject quarantine two weeks announces
0.0,0.0,0.0,0.0,declares coronavirus emergency sets new restrictions enter country china
0.0,0.0,0.0,0.0,special report similar ebolavirus racialized distinctly african illness news coronavirus led outbreak anti chinese racism across west
0.0,0.0,0.0,0.0,response ncov proves china much influence downplayed problem allow taiwan increasing global risk stop playing politics risking lives quarantinechina
