Date,Domain,Page Type,Tweet,Country Character,Country Competence,People Character,People Competence,Sentiment
00:23.0,twitter.com,twitter,amanpuri exchange highest referral fee industry transaction fee person referred user reflected account real time amanpuri amal btc xrp eth cryptocurrency altcoin bitcoin china btcfx,1,1,1,1,neutral
00:22.0,twitter.com,twitter,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained,1,1,1,0,neutral
00:14.0,twitter.com,twitter,our sin accepted islam we re religious family accepted islam prayed five times day read qur an parents went mecca committed crime china,1,0,1,1,neutral
00:14.0,twitter.com,twitter,people want know like empty mall china coronavirus outbreak weird shanghai become ghosttown fyi super brand mall chinacoronavirus coronaoutbreak,1,0,1,1,negative
00:04.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
00:03.0,twitter.com,twitter,german report spells china human rights abuses uighur muslims german government aware humanrights violations chinas xinjiang province warns uighurs deported back china may disappear indefinitely,1,1,1,1,negative
59:54.0,twitter.com,twitter,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained,1,1,1,0,neutral
59:43.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
59:39.0,twitter.com,twitter,military personnel arrived wuhan military world games october first coronavirus case appeared two weeks later november coronavirus incubation period days china bioweapon,1,1,1,0,neutral
59:30.0,twitter.com,twitter,many coronavirus infected people showed obvious symptoms fell coma suddenly still walking street death toll china way officially reported coronavirusoutbreak wuhancoronavius ncov,1,0,1,1,negative
59:23.0,twitter.com,twitter,incoming flights china limited seven airports sunday due coronavirus,1,1,1,1,neutral
59:02.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
58:45.0,twitter.com,twitter,forget shiningcityonthehill turned lights founders washington ronaldreagan clearly can t keeptherepublic world beginning northkorea ukraine russia china laughing,1,1,1,1,neutral
58:33.0,twitter.com,twitter,arab states part chinese beltandroad oil flow east monetary policy move east decoupling arms sales could one day look east dubai already little india,0,1,1,1,neutral
57:54.0,twitter.com,twitter,hubei province sits chinas geographic heart intersection countrys critical road rail water transportation networks central national development strategies,1,0,1,1,neutral
57:51.0,twitter.com,twitter,china totally quarantained end next week citizens trying escape country means coronavirus cononavirus caronavirus coronovirus incubination period two weeks would need quarantine period twee weeks costly,1,0,1,1,neutral
57:30.0,twitter.com,twitter,china govt virus death toll rises new fatalities coronarvirus chinavirus,1,1,0,0,negative
57:15.0,twitter.com,twitter,bbc coronavirus worldwide cases overtake sars outbreak around cases sars eightmonth outbreak nearly people infected new coronavirus china,1,0,1,1,neutral
57:03.0,twitter.com,twitter,kevin sood anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo,0,1,0,1,neutral
56:46.0,twitter.com,twitter,another person literately fell dead ground ill coronavirus hubei province china video contains disturbing footage,1,1,1,1,negative
56:40.0,twitter.com,twitter,picture month goes civilian aircraft pilot leaving china full protective suit face mask coronavirus,1,1,0,0,negative
56:32.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
56:26.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
56:22.0,twitter.com,twitter,coronavirus myanmar turns back chinese flight guangzhou passenger symptoms quarantined yangon china southern jet sent home almost everyone board friday one passenger flu symptoms fooling around here,1,1,1,1,neutral
55:48.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
54:51.0,twitter.com,twitter,masked wedding china life goes coronarvirus,0,0,1,1,neutral
54:49.0,twitter.com,twitter,wuhan union hospital bypassed red cross china asked donations online medical staff punished standing outside food collection site like begging food given anything china wuhan wuhanpneumonia chinaoutbreak chinahospital,1,0,1,1,negative
54:40.0,twitter.com,twitter,citizen hubei province china within past days subject quarantine two weeks announces,1,1,1,0,neutral
54:22.0,twitter.com,twitter,declares coronavirus emergency sets new restrictions enter country china,0,1,1,1,negative
53:56.0,twitter.com,twitter,special report similar ebolavirus racialized distinctly african illness news coronavirus led outbreak anti chinese racism across west,1,0,1,1,negative
53:34.0,twitter.com,twitter,response ncov proves china much influence downplayed problem allow taiwan increasing global risk stop playing politics risking lives quarantinechina,1,1,1,1,neutral
53:27.0,twitter.com,twitter,jinping coronavirus neither muslim christian buddhist cant kill virus bombs guns torture imprison this virus result support terrorist regime iran massacre innocent people china,1,0,1,1,negative
53:09.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
53:04.0,twitter.com,twitter,breaking spanish health department says recorded first confirmed case coronavirus china wuhan hubei spain,1,1,0,0,neutral
52:15.0,twitter.com,twitter,napping anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo,0,1,0,1,neutral
51:51.0,twitter.com,twitter,pst good day anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo,0,1,1,1,neutral
51:44.0,twitter.com,twitter,shocking evidence people hubei province dropping onto floor ill coronavirus china,1,1,1,1,negative
51:36.0,twitter.com,twitter,elon musk nobel peace prize retweet agree tsla tesla china unitedstates,1,1,1,0,neutral
51:14.0,twitter.com,twitter,special srilankan airlines charter flight leaves china bring back lankan students presently residing wuhan coronavirus srilanka lka,1,0,1,0,neutral
51:08.0,twitter.com,twitter,sisters new dog maverick anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo,0,1,0,1,neutral
50:45.0,twitter.com,twitter,china resurrects great cannon ddos attacks hongkong forum zdnet cybersecurity techjunkienews,1,0,1,1,neutral
50:26.0,twitter.com,twitter,wall street need work weekend prepare doomsday bunker algos precaution coronarvirus china,1,1,1,1,neutral
50:06.0,twitter.com,twitter,suspected case coronavirus admitted medical ward saidu teaching hospital swat suspected patient arrived swat china days ago plz apply safety protocols earliest safe everyone,1,0,1,0,neutral
50:05.0,twitter.com,twitter,china expresses concern unofficially chinese nationals discriminated srilanka due coronavirus scare lka authorities told chinese turned away restaurants hotels hospitals spas supermarkets locals,1,0,1,0,negative
49:12.0,twitter.com,twitter,kevinsood owl anime nakamaya dbz dragonballz sailormoon onepeice naruto cute cutes funkopop fortnite japan china temecula riverside kevinsood bleach myheroacademia weeb weeboo,0,1,0,1,neutral
48:43.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
48:17.0,twitter.com,twitter,chinese man suddenly lose consciousness street allegedly wuhan first case ppl suddenly collapse symptoms makes chinese coronavirus hard discover ppl infected could apparent symptoms like fever cough china,1,0,1,1,negative
47:41.0,twitter.com,twitter,house warns china dalailama succession process threatens sanctions house passed bill sanctions chinese officials meddling dalai lamas succession,1,1,1,1,negative
47:40.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
47:28.0,twitter.com,twitter,chinas beltandroad became global trail trouble good read,1,-1,1,1,neutral
47:24.0,twitter.com,twitter,media china falsely reported coronavirus spread pets like cats dogs chinese ignored truth choose kill pets thrown windows tall buildings coronavirus chinapneumonia chinacoronavirus,1,0,1,1,negative
47:23.0,twitter.com,twitter,china perfectly great question answer don t touch eyes nose handsfingers,1,0,1,1,positive
47:09.0,twitter.com,twitter,health alert ongoing outbreak respiratory illness caused novel new coronavirus first identified wuhan china additional cases identified international locations prepared travel restrictions little advance notice,1,1,1,0,neutral
46:21.0,twitter.com,twitter,senators bunch cowards bow looks like chinese cuban parliament always leader wants,0,1,1,1,neutral
46:19.0,twitter.com,twitter,extremely painful video don t deserve coronavirus coronavirusoutbreak prayforchina coronaviruswuhan ncov china wuhan wuhancoronavirus chinavirus wuhanpneumonia coronaoutbreak,1,-1,1,1,negative
46:08.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
46:00.0,twitter.com,twitter,number confirmed deaths chinas coronavirus outbreak risen authorities hardesthit hubei province saturday reported new fatalities afp,1,0,1,1,negative
45:32.0,twitter.com,twitter,ontario announces new case novel coronavirus london cp torontos breaking news ncov ncov health healthscare coronavirus china wuhan globalhealth healthemergency coronavirusoutbreak epidemic publichealth canada pandemic,1,0,1,1,neutral
45:21.0,twitter.com,twitter,coronavirus death toll rises new coronavirus deaths china coronarvirus coronarovirus coronavirus coronaviruswuhan china,1,0,1,0,negative
45:21.0,twitter.com,twitter,leaked videos china coronavirus claims victims death toll way officially reported coronavirusoutbreak,1,0,1,0,neutral
45:06.0,twitter.com,twitter,iran suspends flights china due coronavirus iran china coronavirus,0,1,1,1,neutral
44:50.0,twitter.com,twitter,breaking santa clara county california confirmed first case coronavirus says local health department china virus,1,1,0,0,neutral
44:17.0,twitter.com,twitter,somebody england china srilanka german america want write english friends poland,0,1,1,1,neutral
44:16.0,twitter.com,twitter,i m hearing multiple coronavirus cases area unconfirmed less it s must take drastic action we re going stop virus china caused huge problem world,0,0,1,1,negative
44:12.0,twitter.com,twitter,want improve chinese engaging traditional performances visiting historic sites around china attending exclusive lectures free apply join peking university chinese language summer school,0,0,1,1,neutral
43:36.0,twitter.com,twitter,chinese embassy windhoek demanding chinese nationals recently returned namibia must stay home days quarantine ensure infected novel coronavirus,1,1,1,0,neutral
43:00.0,twitter.com,twitter,can t say i m loling it s remarkable things playing big challenge chinese communist party authoritarianism china structurally incapable transparency int l cooperation needed heart goes chinese people,1,0,1,1,neutral
42:54.0,twitter.com,twitter,drones cameras linked facialrecognition systems could collect data chinas nationwide socialcredit system system supposed running year say hello totalitarianism,1,1,1,1,negative
41:56.0,twitter.com,twitter,china harrowing footage shows dog yelping barbecued alive street market via,1,0,1,1,negative
41:53.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
40:53.0,twitter.com,twitter,maskson china else china s communist regime getting bit creepy coronavirus response stalking people loudspeaker drones wearing masks it s clever scary one terrified child seen running back home,1,1,0,0,negative
40:34.0,twitter.com,twitter,seventh confirmed coronarvirus patient northern california said exposed traveling china,1,1,1,0,negative
40:31.0,twitter.com,twitter,think started one city sound familiar hint racoon city coronavirus wuhan ncov pneumonia wuhanoutbreak china,1,0,1,1,neutral
40:29.0,twitter.com,twitter,coronavirusoutbreak canada s toronto janlondonrd ontario usa th coronavirus male santaclara bayarea southbay travelwuhan chinareturn sanjose airport jan self isolatefew contacts,1,0,1,1,neutral
40:27.0,twitter.com,twitter,persontoperson transmission seen least countries outside china japan vietnam germany taiwan coronavirus taiwan part china,1,0,1,0,neutral
40:19.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
40:18.0,twitter.com,twitter,persontoperson transmission seen least countries outside china japan vietnam germany taiwan coronavirus taiwan part china taiwan,1,0,1,0,neutral
39:43.0,twitter.com,twitter,travelers prepared travel restrictions put effect little advance notice warned americans traveling china amid coronavirusoutbreak,1,1,1,0,negative
39:31.0,twitter.com,twitter,due threat novel coronavirus recently adjusted travel advisory china level meaning individuals travel learn restrictions photo,1,1,1,1,neutral
39:25.0,twitter.com,twitter,hubei province jan new cases pneumonia new deaths total cases severe critical medical watch china,1,1,1,1,neutral
39:21.0,twitter.com,twitter,special report similar ebolavirus racialized distinctly african illness news coronavirus led outbreak anti chinese racism across west,1,0,1,1,negative
38:56.0,twitter.com,twitter,prochinese communist thugs brutalize hongkongprotesters peacefully protesting chinas influence intimidation tactic straight communist playbook,1,0,1,1,negative
38:03.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
38:00.0,twitter.com,twitter,latest norwaytrump thanks coronavirus china,1,1,1,0,neutral
37:32.0,twitter.com,twitter,turkish cargo plane arrives china evacuate people including turkish azerbaijani georgian albanian nationals wuhan province epicentre coronavirus outbreak via china,1,1,1,0,neutral
36:38.0,twitter.com,twitter,seventh confirmed coronarvirus patient northern california said exposed traveling china,1,1,1,0,negative
36:34.0,twitter.com,twitter,declaring public health emergency international concern global outbreak ncov happening china happening countries,1,1,1,1,negative
36:29.0,twitter.com,twitter,breaking spanish health department says recorded first confirmed case coronavirus china wuhan hubei spain,1,1,0,0,neutral
36:25.0,twitter.com,twitter,bidu raised guidance much china tanking mondaynext,0,0,1,1,neutral
36:17.0,twitter.com,twitter,keep date indestructibles progress bringing product range expertise rapidly developing aerospace indusrtry china specialistcoatings aircraftpaint aerospacecoatings industrialpaint intumesentcoatings subcon mach,1,0,1,0,neutral
36:09.0,twitter.com,twitter,extremely painful video don t deserve coronavirus coronavirusoutbreak prayforchina coronaviruswuhan ncov china wuhan wuhancoronavirus chinavirus wuhanpneumonia coronaoutbreak,1,-1,1,1,negative
36:04.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
35:46.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
35:27.0,twitter.com,twitter,china virus death toll rises new fatalities government says afp,1,1,1,0,negative
35:25.0,twitter.com,twitter,speed china detected outbreak isolated virus sequenced genome shared world impressive s commitment transparency supporting countries ncov,1,0,1,1,neutral
35:24.0,twitter.com,twitter,pompei calls communist china central threat times,1,1,1,0,negative
35:23.0,twitter.com,twitter,students stranded china scared want return pakistan cronavirus,1,1,1,0,negative
34:57.0,twitter.com,twitter,prochinese communist thugs brutalize hongkongprotesters peacefully protesting chinas influence intimidation tactic straight communist playbook,1,0,1,1,negative
34:54.0,twitter.com,twitter,china leaders sacrifice coronavirusinfected cities save others prepared accept millions fatalities,1,1,1,0,neutral
34:47.0,twitter.com,twitter,coronavirus lived visited affected areas china come contact anyone ill take steps stay informed eat balanced diet get enough sleep avoid touching eyes nose mouth wash hands ncov ncov,1,0,1,1,neutral
34:41.0,twitter.com,twitter,update read statement spanish spain confirming first case coronavirus china wuhan hubei,1,1,1,0,neutral
34:27.0,twitter.com,twitter,redcross help china people wuhan elite cant trust humanitarian organizations anymore trust,1,0,1,1,negative
34:27.0,twitter.com,twitter,breaking basrah airport allow travelers china enter,0,1,1,1,neutral
34:17.0,twitter.com,twitter,coronavirus official figures update dead infected suspected infected recovered discharged hubei alone infected dead wuhan city infected dead china,1,0,1,0,negative
34:16.0,twitter.com,twitter,seventh confirmed coronarvirus patient northern california said exposed traveling china,1,1,1,0,negative
33:58.0,twitter.com,twitter,china s increasingly aggressive authoritarianism one daunting challenges facing developing established democracies countries pushed back could done,1,1,1,1,neutral
33:21.0,twitter.com,twitter,bars foreigners coming china virus fear jan,1,0,1,1,negative
33:09.0,twitter.com,twitter,update read statement spanish spain confirming first case coronavirus china wuhan hubei,1,1,1,0,neutral
32:54.0,twitter.com,twitter,coronavirus outbreak scared great podcast posted jan featuring several actors witnesses china usa including ncov dontcoverdiscover,1,1,0,0,neutral
32:50.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
32:42.0,twitter.com,twitter,hmmmsome interesting developments coronavirus true coronavirusaustralia coronaviruscanada ncov china wuhanoutbreak hiv,1,0,1,0,neutral
32:40.0,twitter.com,twitter,breaking spanish health department says recorded first confirmed case coronavirus china wuhan hubei spain,1,1,0,0,neutral
32:32.0,twitter.com,twitter,thanks highlighting issue without global pressure china isnt likely address serious risks mass outbreaks deaths inside mass detention camps uyghur region millions lives stake lets get whourumqi asap,1,1,1,1,neutral
32:06.0,twitter.com,twitter,spain confirms first case coronavirus coronavirusoutbreak wuhan china,1,1,1,0,neutral
31:59.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
31:13.0,twitter.com,twitter,ppl get hysterical bully chineseeastasians elsewhere pls calm deaths caused wuhancoronavirus except china govt slow recog disease pray infected make speedy recoveries,1,0,1,1,negative
31:05.0,twitter.com,twitter,since chinese communist party came power continuously suppressed persecuted christianity catholicism order fully eradicate religious beliefs establish china zone atheism chinese communist suppressed,1,0,1,1,negative
31:01.0,twitter.com,twitter,declaring public health emergency international concern global outbreak ncov happening china happening countries,1,1,1,1,negative
30:58.0,twitter.com,twitter,united states declared coronavirusoutbreak publichealthemergency bar entry foreign nationals mainland china past days rampup efforts stem spread virus,1,1,1,1,neutral
30:44.0,twitter.com,twitter,hope graphic seems stabilizing except result methods cover real death infection rate china dont lookat picture look graph coronavirus cononavirus caronavirus coronovirus also next days,1,0,1,1,neutral
30:39.0,twitter.com,twitter,live winnertakeall talking china tradedeal design business platform mcdonalds epic games marketplace consolidation join,1,0,1,1,neutral
30:11.0,twitter.com,twitter,listen howard markel director center history medicine discusses coronavirus quarantine china,0,1,1,1,neutral
30:10.0,twitter.com,twitter,unitedstates state department issued travel alert china coronavirus continues rapidly spread today delta airlines announced suspensions flights china know chinas economy beginning take pretty hard hit outbreak,0,1,1,1,neutral
30:07.0,twitter.com,twitter,breaking spanish health department says recorded first confirmed case coronavirus china wuhan hubei spain,1,1,0,0,neutral
29:29.0,twitter.com,twitter,great see introduce bill curb world bank funding china senate taxpayers subsidizing chinese economy circumstances bill,1,1,1,1,neutral
29:19.0,twitter.com,twitter,naturalgas weekly update ethane exports rise china receives first cargos energytrade,1,1,1,0,neutral
29:07.0,twitter.com,twitter,beijing housing compounds saying residents enter time fears coronavirus infection china,1,1,1,1,negative
28:57.0,twitter.com,twitter,facialrecognition latest form payments china fintech payments iot tech deeplearning machinelearning makeyourownlane ir,1,1,1,1,neutral
28:30.0,twitter.com,twitter,hubei province jan new cases pneumonia new deaths total cases severe critical medical watch china,1,1,1,1,neutral
27:54.0,twitter.com,twitter,right animal deserves abused tortured killed people selfishness crime life god good people world make positive impact vegan coronavirus coronavirusec china health,1,0,1,1,negative
27:18.0,twitter.com,twitter,china acts coronavirus temporarily bans wildlife trade china corona coronarvirus wildlife wildlifetrade animalrights,1,0,1,1,neutral
26:58.0,twitter.com,twitter,beijing joined shanghai extending official holidays essential services food production etc another week work restart th february coronavirus china,1,1,1,1,neutral
26:54.0,twitter.com,twitter,prochinese communist thugs brutalize hongkongprotesters peacefully protesting chinas influence intimidation tactic straight communist playbook,1,0,1,1,negative
26:28.0,twitter.com,twitter,breaking iran suspends flights china bans flights china due coronavirus outbreak,0,1,1,1,negative
26:25.0,twitter.com,twitter,prepare meet inevitable disinfect air breathe uvc light healthcare professionals please comment need opinion coronarvirus coronarvirus viruscorona virus wuhan china disease,1,0,1,0,neutral
26:06.0,twitter.com,twitter,japan countries denying entry chinese citizens passports issued hubei province coronavirus emergency started singapore gone one step denying entry anyone passport china,1,1,1,1,neutral
25:58.0,twitter.com,twitter,wish chinese wouldn t eat wild animals time government banned root cause want treat problem coronarvirus china viruscorona,1,0,1,1,negative
25:32.0,twitter.com,twitter,china govt virus death toll rises new fatalities coronarvirus chinavirus,1,1,0,0,negative
25:11.0,twitter.com,twitter,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps,1,1,1,0,neutral
25:09.0,twitter.com,twitter,ping interview freedom speech china change interviews china hongkong,0,0,1,1,neutral
24:59.0,twitter.com,twitter,important declaring public health emergency international concern global outbreak coronavirus chief imagine china implications greatest concern potential virus spread countries weaker health systems,1,1,1,1,neutral
24:46.0,twitter.com,twitter,hubei province sits chinas geographic heart intersection countrys critical road rail water transportation networks central national development strategies,1,0,1,1,neutral
24:27.0,twitter.com,twitter,lieberals running scared unethical love china basicdictatorship exposing millions canadians imminent death antidote vaccine tantamount massmurder treason trudeaumustgo jailjustin,1,1,1,1,negative
24:25.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
24:22.0,twitter.com,twitter,banning entry china coronavirus travel tourism ban kdwn,1,1,1,1,neutral
24:16.0,twitter.com,twitter,china george orwells steroids,1,1,1,0,neutral
23:57.0,twitter.com,twitter,uprising quickly ended qing dynasty began wuhan today people china saying epidemic overwhelming regime wuhan chinas chernobyl marx told history repeats wuhancoronavirus,1,0,1,1,negative
23:43.0,twitter.com,twitter,breakingnews via chris martenson wuhan,0,0,1,1,neutral
23:31.0,twitter.com,twitter,china panicbuilding entire hospitals matter days construction china wuhan engineering,1,1,1,0,neutral
23:01.0,twitter.com,twitter,united states declared coronavirusoutbreak publichealthemergency bar entry foreign nationals mainland china past days rampup efforts stem spread virus,1,1,1,1,neutral
22:47.0,twitter.com,twitter,i m scared many families separated result today s ban past travelers china deeply disproportionate response coronarvirus driven much white house s nativism real public health concern keepfamiliestogether,1,1,1,1,negative
22:15.0,twitter.com,twitter,goal efforts church china to testify world christ testify middle kingdom kingdom heaven testify earthly momentary lives heavenly eternal life wang,1,0,1,1,neutral
22:05.0,twitter.com,twitter,torture metal nails fingernails pulled electric shocks takes place black room punishment constant human subjects medical experiments women routinely raped china uyghurs,1,0,1,1,negative
21:22.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
21:05.0,twitter.com,twitter,wowthis know it s getting bad ufc china mma coronarvirus,0,1,0,1,negative
20:58.0,twitter.com,twitter,china george orwells steroids,1,1,1,0,neutral
20:45.0,twitter.com,twitter,past years many debated engagement decoupling china wuhancoronavirus decoupling seems consensus lol,1,1,1,1,neutral
20:42.0,twitter.com,twitter,paris daily led brexit friday saturdays paper focuses china isolated rest world coronavirus,1,1,1,0,neutral
20:11.0,twitter.com,twitter,united states declared coronavirusoutbreak publichealthemergency bar entry foreign nationals mainland china past days rampup efforts stem spread virus,1,1,1,1,neutral
19:59.0,marlenafrank.com,news,ducks viable alternative pesticides source eco friend link bio thehappybroadcast love positivity happiness happy motivation friends fun style illustration inspiration goodnews future art artist goodmorning positivenews life duck rice farming china japan pesticides post shared happy broadcast,1,0,1,1,neutral
19:53.0,twitter.com,twitter,china model china ice breaker,0,1,1,1,neutral
19:51.0,twitter.com,twitter,iran suspends flights china due coronavirus iran china coronavirus,0,1,1,1,neutral
19:45.0,twitter.com,twitter,people outraged bungee pig every year years animalcruelty happens outrage wisconsin small town festival s chicken toss draws ire animalrights activists animals china pig,1,0,1,1,negative
19:28.0,twitter.com,twitter,want understand stake coronarvirus article best summary ive found china dataviz,1,1,0,0,neutral
19:15.0,twitter.com,twitter,first batch indian passengers air india special flight wuhan china coronavirus coronavirusindia chinavirus ndtvexclusive ndtv x,1,0,1,1,neutral
18:57.0,twitter.com,twitter,police china even arresting people refuse put face mask see female dropped floor police officer arrested coronavirus,1,0,1,0,negative
18:33.0,twitter.com,twitter,london s china town empty deserted coronarvirus taking toll london chinatown tourism greatbritain chinese china tourist,1,0,1,1,neutral
18:12.0,twitter.com,twitter,china man likely seriously infected deadly coronavirus stumbles arbitrarily front car supervision cctv public remains lifeless see reactions ncov coronavirusoutbreak wuhancoronavirus,1,0,1,1,negative
17:26.0,twitter.com,twitter,special report similar ebolavirus racialized distinctly african illness news coronavirus led outbreak anti chinese racism across west,1,0,1,1,negative
17:18.0,twitter.com,twitter,update coronavirus cases confirmed territories italy confirmed cases philippines india ncov world health organization declares pheic cases china state department authorizes diplomatic staff evacuate china,1,1,0,1,neutral
16:55.0,twitter.com,twitter,drones cameras linked facialrecognition systems could collect data chinas nationwide socialcredit system system supposed running year say hello totalitarianism,1,1,1,1,negative
16:37.0,twitter.com,twitter,chinese president china coronavirus animal diseases stressed animals sign petition via,1,1,0,0,neutral
16:14.0,twitter.com,twitter,patients discharged hospital wuhan friday recovering novel coronavirus ncov china,1,1,1,0,negative
15:39.0,twitter.com,twitter,lifted sanctions units chinese tanker company cosco said partially reversing punishment company transporting iranian oil china complained measure tradetalks washington,1,1,1,0,negative
